vocabulary,pos_freq,neg_freq
3000,1,1
biotic,0,1
whaddaya,0,1
nightah,0,1
u,1690,1172
caffen,1,0
trumpet,1,2
impt,2,0
quien,0,1
duet,7,2
gettingg,1,0
ieva,0,1
munshi,1,0
dummiest,1,0
chessington,1,0
dimanch,1,0
y3eenik,0,1
kalika,1,1
keshian,0,1
jeebu,1,1
orela,1,0
majic,1,0
haaaa,1,0
counter,5,11
shukrn,1,0
picasso,0,1
weldon,1,0
jamba,3,1
nike,2,9
sempet,0,1
plya,1,0
soozi,0,1
schoolday,0,1
rocker,3,0
stevi,3,2
intrepid,0,1
casserol,2,0
js,9,1
fleamarket,0,1
chocoalt,1,0
peoria,1,0
genshi,1,0
hrt,1,0
xp,14,15
joanni,2,0
blesss,1,0
simpatico,1,0
ucattip,0,1
reeeeeeealli,0,1
schoolweek,0,1
cs4,5,3
quotysfunct,1,0
grtandma,1,0
qing,1,0
wellywood,1,0
new,1707,876
tuesdayl,0,1
matamoska,1,0
somethin,5,9
yael,1,0
fletcher,4,0
brb,14,7
stan,3,4
assing,1,1
whoa,26,11
may,323,313
quottil,0,1
blegh,1,2
karat,3,3
youch,0,2
monkey,21,22
hookitupppp,1,0
magner,1,0
vid,62,58
mistress,2,1
supresso,1,0
wilca,1,0
ziggi,1,0
teel,0,1
babylov,0,1
touch,85,60
indifer,1,0
sutil,1,14
aaaaannnnd,0,1
vicker,2,1
lago,1,0
its11,1,0
creedcascad,1,0
sedona,3,0
franke,1,0
alien,17,12
mmva,2,0
melai,1,0
warm,131,100
dank,6,0
blur,3,5
buchan,1,0
kroner,1,0
scoundrel,1,1
youuuuuuuuuu,1,0
quoteason,1,0
pigless,0,1
rayyyyy,1,0
fambam,3,0
vb,0,2
varat,1,0
theu,0,1
ryannnnn,1,0
china,26,26
insecur,4,2
cockpit,1,0
qetttinqg,1,0
jackhamm,0,2
quotgrant,1,0
kaiden,0,1
tassi,0,1
improp,1,0
gate,5,10
parol,1,0
morninggg,2,1
obvious,23,26
nici,1,0
feed,50,69
moob,2,0
biiiiiiiiiiitch,1,0
quoti,1,1
teletubbi,1,0
parra,1,3
everrrywher,0,1
cheerz,1,0
steep,2,5
lyncomb,1,0
bcome,1,0
explorin,1,0
merfolk,2,0
hyde,3,3
pipex,1,0
rght,0,1
duke,10,3
corndog,1,2
upsel,1,0
x160,0,1
qua,1,1
carina,0,1
horsen,0,1
turvi,0,1
exsdesign,0,1
u_u,1,1
laaap,0,1
twiteo,1,0
rsi,0,3
edict,0,1
tomori,0,1
lolzzz,0,1
looong,2,6
d90,1,2
terrestri,0,1
puttin,2,2
dek,0,1
fmylif,1,2
kung,4,1
lotus,1,0
takaja,1,0
deadlin,12,23
awaken,2,5
slowdown,1,2
interior,4,3
lembrar,1,0
g4,4,3
nightynight,1,0
tori,8,6
brigadu,1,0
go,3802,5287
seam,3,1
holl,0,4
cal,15,3
gun,17,9
riiiiiiiiiiight,1,0
workssss,1,0
shop,313,234
simplif,1,0
blaaaaahhh,0,1
opensolari,0,1
thereeeeeeee,0,1
oversold,0,1
twitess,1,0
xam,0,3
a6,0,1
oan,1,0
bit,342,390
manchego,1,0
manreet,0,1
dilat,1,1
an,5,4
yosemit,1,0
statussss,1,0
repeat,21,27
zomg,3,5
eeeeeee,1,0
stew,4,4
disc4,1,0
nfl,2,5
tiiiiir,1,3
howl,5,1
foxx,3,2
themmm,1,1
fullfil,0,1
gym,84,106
manunitedvss,1,0
pani,0,1
tyrant,0,1
lomb,0,1
simpl,43,15
sleigh,1,0
specail,0,1
moseley,0,2
muzak,0,1
shti,0,1
thief,0,2
inflect,1,0
statist,4,10
het,3,3
ttyl,12,6
expel,1,1
cow,8,18
messsedd,0,1
usenet,1,1
ood,1,1
30am,11,32
quotycho,1,0
gaji,0,1
dmv,1,3
mouth,35,46
smoochiez,0,1
illiter,2,0
babi,303,330
vegit,0,1
beeb,1,1
tommorrow,8,9
tweepl,21,7
sarah,35,26
tranqilo,1,0
creambath,0,1
jeydon,1,0
muscial,1,0
silverwat,1,0
scifi,4,2
chi1,1,0
idgaf,0,1
xd,154,83
guinea,5,0
bacalhau,2,0
resist,18,16
fgl,1,0
mfi,1,0
anca,0,1
musician,8,4
cookinlesson,1,0
overs,0,1
errrggggg,0,1
cbb,1,1
oxfam,0,1
wonderful,4,1
skali2nya,0,1
beddyby,1,0
surmu,0,1
hexogon,1,0
cindarella,0,1
cheeto,2,3
calvin,2,3
minn,2,2
skelet,1,1
calpol,0,1
buh,1,6
foodporn,0,1
reerenc,1,0
fade,7,10
provoost,1,0
massag,17,12
idoll,1,0
dilay,1,0
lyn,3,1
umtweeti,1,0
ballad,4,0
grrrrreeeeaat,0,1
twitherpi,0,1
majesti,1,0
feedli,1,0
hopelessli,0,1
beginnin,0,1
criessss,0,1
rapidez,1,0
unbundl,0,1
brickbreak,0,1
herkans,0,1
tova,1,0
chillout,2,0
boost,9,1
erik,3,1
krew,0,1
win2k,0,1
waaagh,0,1
boxset,0,3
bolyin,1,0
arrghhh,0,2
cillian,0,1
twittmad,1,0
quotlay,1,0
scaaar,1,0
ann,22,11
som1,0,1
duck3,1,0
alw,0,1
georg,27,15
silverton,0,1
owi,0,5
megamal,0,1
fasho,1,0
i85,1,0
caitlyn,3,2
pwd,1,0
mothbal,0,1
sprayin,0,1
autuer,1,0
leed,11,13
javari,0,1
dollfac,1,0
slightest,0,2
shool,0,3
peachi,1,2
obviosuli,0,1
pumpkin,8,4
greatgrandma,1,0
thin,8,8
crater,1,0
bolanais,1,0
beeen,0,2
maga,0,1
knowwwwwwww,0,1
skivvi,2,0
inlezen,1,0
sassi,3,0
mync,1,0
watercolor,1,2
dmen,1,0
melika,1,1
butterfing,1,0
shelb,1,0
ltb,0,2
meee,10,17
neo,1,1
paella,1,0
cavan,1,0
goblet,0,1
zip,0,7
fl,18,19
yoooo,3,1
sevilla,1,0
buttock,0,1
jazzzzz,1,0
ampefinit,0,1
quotiet,1,0
rape,3,15
martyr,0,1
sonat,0,1
bostihuahua,1,0
gaya,0,1
battlestar,2,2
francesco,1,1
buttrich,1,0
gayyyi,0,1
spoken,7,6
sulk,2,11
whatsoev,0,5
laid,7,16
sqlex2005,0,1
asplood,1,0
thyroid,1,0
rupaul,1,0
insuffer,0,1
eliot,1,0
williamsburg,1,0
timah,1,0
donniel,1,0
tweeterd,1,0
vri,3,0
cornflak,1,0
vannesa,1,0
myserti,0,1
fooooood,1,0
laziest,0,1
hotel,44,66
lihu,1,0
omorrow,0,1
petrol,3,3
moniqu,3,0
waint,0,1
licens,13,14
cracker,10,7
hairdryer,0,6
drowsi,0,1
someday,26,15
trenutek,1,0
cttttttttt,1,0
beltin,1,0
agenci,0,1
typhoon,1,0
corpsegrind,1,0
proposit,0,2
vic,4,2
helensburgh,1,0
apprach,1,0
bitchi,2,5
gahh,4,10
shudder,1,4
masquito,1,0
fireworl,0,1
shini,19,7
wd,1,0
hershi,0,1
shaft,0,1
tweetless,0,3
ocho,1,1
workinggggg,1,0
tmoz,1,0
crumbl,1,1
wooha,0,1
subcrib,1,0
hypothesi,0,1
herm,0,2
ekka,1,0
omzet,0,1
zelleweg,1,0
lordi,2,0
erli,0,1
oneshot,0,1
stinkaz,0,1
gave,74,86
suspend,3,7
kristian,1,0
v1,3,0
callun,0,1
sherpa,1,0
07am,2,1
surli,1,1
otherwis,31,35
chinees,1,0
sadfac,0,8
billboard,3,3
sightse,1,0
ampunburnt,0,1
greenhil,0,1
fut,1,0
jest,2,0
whirl,1,1
yeast,0,1
astro,4,3
babyyyy,2,0
gasolin,0,1
jax,2,2
starla,1,1
kotor,1,0
ntway,1,0
stix,1,1
quotcream,1,0
nuuu,0,1
flooooor,1,0
rcb,0,1
beckett,1,3
pareci,1,0
hypeeeeeeeeeeeeeeer,0,1
albertson,1,0
twittaddict,1,0
flooooo,1,0
disorgan,1,0
yukki,0,3
tweetfind,0,1
suckkaz,1,0
ven,1,0
qauli,0,1
fropm,1,0
suburbia,1,1
bran,0,2
lawwn,1,0
t_t,2,9
woder,0,1
diz,0,1
reeeeal,0,1
frozen,7,13
hayli,2,0
waitinglist,0,1
ahupua,1,0
snifflin,0,1
o21o,0,1
sexy,1,0
antarctica,2,0
switchinq,1,0
moulin,1,3
getaway,2,1
sdcc,1,0
ponderland,1,0
deliveri,16,20
yukon,1,0
flml,1,0
monoxid,0,1
crisp,8,11
abc2,0,2
prang,0,1
swwwwing,0,1
waaaaaaa,0,1
a900,1,0
duomo,1,0
lotu,3,5
mole,0,2
suckassi,0,1
reeba,1,0
twitfam,0,1
gift,54,19
moodi,1,3
tryin,12,20
tizzalici,1,0
harddisk,1,1
superneej,0,1
teleconfer,1,0
washin,0,2
lmoa,1,0
chiller,1,0
amsterdamm,1,0
renam,1,1
fiat,1,1
switchbox,0,1
atwitt,0,1
mor0o,0,1
omli,0,1
bawlz,0,1
698,1,0
cockermouth,1,0
paswanji,1,0
humding,2,0
ampwnload,1,0
habitu,1,0
bak,8,15
sarawak,0,2
tooday,2,0
aktual,1,0
heel,22,21
pm,109,169
paper,95,208
kn,1,1
tinyurl,5,4
saamme,1,0
gutz,0,1
timepass,1,1
parachut,4,0
mitch,1,2
phwoar,1,0
buuuuuuuuh,0,1
presntabl,0,1
iannucci,0,1
hace,1,1
alisha,0,2
ahhhmazingli,1,0
maintain,3,3
ld48,0,1
wokano,0,1
misinform,1,2
mcityr,1,0
chenel,1,0
ninni,0,1
disappont,1,1
honh,3,0
adt,1,0
blaaah,0,2
suktic,0,1
twelv,2,3
ask,288,158
const,0,1
filiocht,0,1
ousid,3,0
tm,5,4
dows,1,0
meself,2,1
epl,1,0
govern,7,11
murrrr,0,2
goer,2,0
arbeit,2,0
evryt,1,0
prend,1,0
addin,1,1
crakl,1,0
boke,0,2
offten,1,0
tee2,1,0
itttt,2,1
istock,0,1
jewelri,5,0
greyish,1,0
crucial,1,1
sporad,0,1
yuppp,0,1
snowbal,1,0
olba,0,1
vector,2,1
lolll,5,4
melar,0,1
nearish,0,1
upcomi,0,1
temporarili,3,6
whiley,1,0
fatigu,0,4
tarot,3,0
alberston,1,0
tessin,1,0
ef,15,24
vehicl,2,7
eastershow,1,0
hsm3,2,2
dign,2,0
dg,1,0
benz,1,1
eatliv,0,1
rob,22,28
ord,4,0
yera,0,1
ideia,0,1
jeal,0,3
opp,5,4
amritsar,1,0
kidnapp,1,0
horsethief,0,1
asmanex,0,1
grandmith,0,1
goodread,0,1
earner,0,1
unitl,0,1
lam,0,1
odor,0,1
nxr,0,1
relish,1,0
uu,2,1
pilot,4,5
elleri,1,0
morcyl,1,0
einstein,1,0
campisi,1,0
uma,1,0
ner,1,1
isbd,0,1
hrim,1,0
songfest,1,0
overlap,0,2
quakel,0,1
interpret,5,1
montaaaaaaag,0,1
macro,1,0
quotk,2,1
pardn,1,0
twitterrhea,0,1
scratchi,0,5
rlc,0,1
hapi,2,0
lvean,0,1
brenton,1,0
socialis,3,0
wood,29,17
yste,0,1
refollow,2,0
elbow,3,16
fr0m,2,1
rng,1,1
projet,0,1
whey,2,1
swiit,1,0
altanta,1,0
zer,1,0
etymot,1,0
dubber,1,0
profess,2,2
centenari,0,1
kianna,1,0
adolesc,3,0
peruvian,4,0
robot,11,11
insinu,1,0
sharin,1,1
echinacea,0,1
neetbal,1,0
decenc,0,1
soonish,2,0
node,1,1
dahhhhhhh,0,1
whatup,0,1
egerton,1,0
paragraoh,0,1
thanksss,2,0
mungo,1,0
calend,2,3
loooong,8,10
kerala,1,0
tanya,6,4
ludicr,0,1
mada,1,0
dessert,9,4
pat,15,7
kong,5,4
bonker,2,2
evad,0,1
murrr,0,1
silki,2,0
shortstack,1,0
darnn,1,0
compil,5,6
coo,2,4
preorder,1,2
sammmmmm,1,0
fye,0,1
nok,1,0
independ,10,5
middletown,0,1
nuisanc,0,1
ahhhhhhhhh,1,1
refresh,34,9
ipb,2,1
pigeon,3,9
quoteas,1,0
jez,0,1
clarendon,1,0
tiffff,0,1
somehow,17,31
momentum,0,3
camerakit,0,1
u31,0,1
jaati,1,0
coughhh,0,1
precip,0,1
wk2,1,0
escucho,0,1
boycott,1,2
karli,1,0
pseudo,0,1
peggl,1,3
mileey,1,0
christ,6,2
lorrrdi,1,0
acquisit,0,1
htten,1,0
smugmug,2,0
sva,0,1
knowin,0,1
amywoodtv,1,0
dacillo,0,1
sllleeeppppyyi,1,0
bldg,1,2
120,1,0
enlazado,1,0
plaer,1,0
hollandais,0,1
kaplan,0,1
naila,1,0
endur,4,6
nose,20,86
807,1,0
tuc,0,1
barcampla,0,1
ourtechteam,1,0
keyword,7,3
nasti,13,54
visualis,1,0
rwa,0,1
amaazingggg,1,0
indonesian,1,2
nomisc,0,1
cayden,1,0
wrinkl,3,6
shinnneee,1,0
noogi,0,1
sarapan,1,0
spyglass,1,0
crochet,6,0
streetview,1,0
ii,23,21
gaid,0,3
adagena,1,0
soph,2,0
conrol,0,1
hugz,1,1
assign,23,87
coooooommmeeeee,1,0
mishap,2,1
groat,1,1
lffn,1,0
zeg,1,0
breakfasssstt,1,0
kinder,1,2
grandmom,0,1
texd,1,0
mysak,0,1
spring,154,221
rydra,0,1
headphon,10,20
cbroom,1,0
studyn,0,1
chalean,1,0
sinigang,0,1
tiernan,1,0
schlump,1,0
redonk,2,0
ala,7,52
miniatur,1,1
lozzeng,1,0
dashboard,3,3
whoaaa,1,0
gio,3,2
nowaday,6,7
hunn,2,3
obstacl,3,2
dcp,0,1
gogogo,1,0
trancegenet,1,0
ndari,0,1
seoul,0,3
thingz,2,1
humor,16,3
coodin,0,1
psquar,1,0
havfun,1,0
rideout,0,1
mcgwyer,0,1
drake,0,4
zwart,0,1
thn,2,4
wais,0,1
intercours,0,1
anyth,197,298
hwi,1,0
either,107,224
whenopen,0,1
underground,4,5
absolv,1,0
eberyon,1,0
milkshak,2,9
tremend,2,1
homeork,0,1
nutella,5,2
kareng,0,1
tallent,0,1
cinthia,1,0
torquay,1,1
charg,16,50
gogoganst,0,1
xristo,3,1
foodd,1,0
longgggggg,0,1
ivor,1,0
profan,2,0
spi,0,5
shinjuku,1,0
interrupt,4,2
redecor,2,1
perkin,0,1
grump,2,1
brandio,1,0
nowwwwwww,0,1
scranton,1,0
cutenew,0,1
paige,1,0
chocohol,0,1
twise,2,0
theori,28,17
lectur,12,35
orgi,2,2
withn,1,0
wohooooo,1,0
duress,1,0
frier,0,1
2606,1,0
ruh,0,1
certan,1,0
reek,1,3
conor,2,3
potsdam,1,1
duell,1,1
thw,1,3
eeeehhh,1,0
ld,1,1
bennett,0,1
shastri,1,0
buss,1,0
doodi,1,0
nanc,1,0
mercedez,0,1
mereu,1,0
mostlylisa,0,1
mic,6,5
jaqu,0,1
stael,0,1
pulmonologist,0,1
roc,1,0
parkman,2,0
lighter,3,6
ariiel,2,0
wurditud,0,1
joaquin,0,2
silverlight,4,2
112,0,1
amazingggg,1,0
abolish,1,0
marsh,0,3
aldean,1,0
public,37,31
fuddruck,1,0
freerealm,3,2
spar,1,1
cyst,0,2
busdriv,0,1
views,0,1
core,7,13
embargo,1,0
liz,15,7
chaffi,0,1
moe,3,6
eva,8,10
dudee,2,0
muack,1,0
inhail,1,0
mudasucka,0,1
adword,0,2
gilaaa,0,1
yaay,8,3
defintweetli,1,0
freedom,10,22
chikki,1,0
taipei,0,2
summerrrrrrrrr,0,1
aint,24,65
idiot,18,19
gencon,0,2
ross,8,9
moto,2,1
berrytast,1,0
million,62,32
cmb,0,1
easywhen,1,0
sheena,2,0
bomfunk,0,1
wallac,0,3
apper,2,4
casket,1,1
citigroup,0,1
spud,0,1
mile,48,76
omer,1,0
u2,6,2
florida,32,37
gruellin,0,1
hoe,7,3
uniiiiii,1,0
sharjah,0,1
shufflep,1,0
ftf,1,2
craptast,0,2
northampton,2,3
phenomen,3,1
timog,0,2
yeyz,2,0
theirself,1,0
che,0,1
snmp,0,1
headband,2,2
ikvll,1,0
waistlin,0,1
ahahahahahahahahaha,1,0
tmeet,1,0
paronychia,0,1
miga,1,0
danger,11,23
marshmallow,2,4
tonk,1,1
okc,2,1
evenin,2,0
spit,4,8
cotwold,0,1
devastatd,0,1
twacho,0,1
cairngorm,1,0
netbal,4,11
reus,2,0
jaunt,1,1
kyoto,2,2
snowbird,0,2
writer,24,11
outlast,0,1
regardless,8,3
kasket,0,1
vamp,4,0
malm,2,1
flyyyyyyi,0,1
enless,0,1
chris2,0,1
erick,2,0
drabbl,1,0
grrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,1,0
audi,4,2
comatos,0,1
ny,36,47
airdat,0,1
dandinella,1,0
brat,1,2
clearanc,1,1
cogan,0,1
kippl,1,0
fabianski,0,2
flatteri,2,0
jerys2get,0,1
hasent,1,0
tarah,1,0
alexiiisss,1,0
chi,7,18
prodigi,12,4
corona,1,0
babiiesss,1,0
lansdown,1,0
yearli,2,1
aaarrrrgh,0,1
boycot,0,2
salmon,8,5
workmail,0,1
eighteenth,1,0
bro,83,49
nighttim,1,3
herbert,5,1
salt,11,12
hartford,2,0
brien,1,0
guardian,2,1
jurkj,0,1
canberra,6,3
pollyt,1,0
umbraco,0,1
106,1,0
jeeezelaweeez,0,1
skydriv,0,1
moni,3,5
smack,10,1
a14,0,1
vim,1,0
pezpet,0,1
wineri,4,1
sib,1,1
wiggin,0,1
liiiittl,1,0
alread,1,0
seend,0,1
vanek,2,0
jammin,9,2
sculli,0,1
hahaah,1,0
meng,2,0
breach,0,2
subcount,1,0
fig,1,2
gtf,1,0
neww,1,0
goltv,0,1
nigtmar,0,1
hitn,0,1
yawwwnn,0,1
morocco,1,0
firebug,1,2
partli,4,5
nuttin,0,1
dime,4,0
shizzit,1,0
recommen,1,0
apartttttt,1,0
pali,1,0
l8rz,1,0
engl,1,0
haif,0,1
checkbox,0,1
trampett,1,0
slechten,0,1
makeup,22,17
restlessli,0,1
dulu,1,0
owwwi,0,1
rr,1,1
chainsaw,1,4
mersyndol,0,1
sistemati,0,1
oklahoma,0,4
bragg,1,0
sunshow,0,1
nr,3,1
gentoo,1,0
v4,1,0
blippr,0,1
rigid,0,1
lankan,1,0
meteociel,0,1
pr,14,5
whedon,2,0
connfess,1,0
wearin,1,0
vacay,2,3
os,16,17
fm,41,28
beeauti,1,0
appreci,165,23
shoedazzl,2,0
dayton,2,1
reload,1,6
niic,3,0
showtun,1,0
lutheran,1,0
jimo,0,1
softwar,32,22
basin,0,1
babu,1,0
radio1,1,0
towl,1,0
unfortunatli,0,13
toledo,0,3
tcol,0,1
expertis,3,1
splain,1,0
overpr,1,1
haue,0,2
trackday,1,0
movil,1,0
refurbish,1,0
pragu,4,0
inspiron,0,1
columbian,1,0
interenet,1,0
wingstop,1,0
quantit,0,1
sunchip,1,1
redisloc,0,1
lc,5,7
gomzi,0,1
flight,82,117
somedbodi,1,0
heimdal,0,1
c,167,209
ass,114,143
brrr,4,2
overblip,1,0
3km,1,0
papper,0,1
rabid,0,1
rabbid,2,0
allot,4,7
corp,6,4
erghhh,0,1
terminar,1,0
craaaazi,0,1
interchang,1,0
ip5000,0,1
guipulp,1,0
pru,0,1
bass,22,7
newslett,9,5
pato,1,0
hye,1,1
reeealli,0,1
zibbet,1,0
dormir,1,0
ashok,0,1
vacc,0,1
plzzzzzzz,1,0
pancit,0,1
empezando,1,0
hee,39,8
brwn,1,0
bor,0,1
gamest,1,0
likeabl,2,0
conner,1,0
clase,0,1
sambazon,1,0
isiah,1,0
renata,0,2
farhenheit,0,1
alena,0,1
heheheheheee,1,0
frenzi,2,0
phili,0,2
ilysfm,0,1
survey,4,6
blahhhhhh,0,1
coast,27,24
rins,0,2
wiil,0,1
howi,1,1
obvi,0,2
mucinex,0,2
lib,4,7
obit,0,2
taskmast,1,0
eagerli,1,2
maul,0,2
veiw,0,1
cask,1,0
reaali,0,1
wordi,0,1
old,364,411
manga,4,2
thousand,14,10
chihuaha,1,0
delici,65,28
noww,6,3
w14th,0,1
berdua,1,0
fuckyeahhalvo,0,1
accept,32,23
todaii,1,0
cervelo,1,0
sonra,1,0
dramaa,0,1
sadest,0,1
reeee,1,0
ayie,0,1
bolagns,0,1
tboner,0,1
jbro,0,1
igh,0,4
shimmer,1,0
etta,1,0
opri,2,0
bonnybridg,1,0
heartbeat,2,2
bitchass,1,1
sieviet,1,0
herrick,1,0
hornet,3,1
madd,2,2
bijebu,1,0
fasterx2,1,0
naooo,1,0
euh,1,0
g10,1,1
limp,3,6
anatomi,5,13
clusterfuck,0,1
engross,2,1
ntc,1,1
frameworku,1,0
za,3,0
retreat,4,8
dunkroo,1,0
deiss,1,0
thanki,7,0
quottress,1,0
josedura,1,0
danan,1,0
wet,34,61
diploma,1,1
bicep,1,0
lyndseykin,1,0
blargh,0,1
anal,1,2
updatinq,1,0
encod,1,1
spk,2,0
resolut,5,2
jojo,5,1
inpact,1,0
phpmyadmin,0,1
hopeless,4,7
proactiv,1,2
pore,1,2
discreet,3,0
improv,35,24
yogafit,1,0
kh,1,5
ahhhhh,5,13
episod,109,121
burglar,0,1
falloutboy,0,2
ilovedit,0,1
tweek,1,0
lung,3,11
suburban,1,1
yabang,0,1
snooker,2,3
ch10,1,0
tender,1,2
dolapder,1,0
cardi,0,1
marthin,0,1
puriti,1,0
chile,5,7
grrrrrr,2,10
cauliflow,1,0
daymn,0,1
goi,1,0
unattend,0,1
shizzam,1,0
humbl,7,4
jukebox,1,0
futurama,1,1
inopportun,0,1
photogen,0,1
green,95,61
immens,2,8
youu,23,11
unlik,8,12
clict,0,1
jenner,1,0
cashback,20,1
backdrop,1,0
aptitud,0,1
dramacrazi,1,0
clint,2,2
suraya,1,0
wantz,2,2
nala,0,1
trudi,1,0
cell,26,55
goodd,1,1
indigest,0,3
reaper,0,3
specul,1,2
rope,3,5
stomp,5,5
illedg,0,1
bubblebath,1,0
omgawd,0,1
whateverrr,1,0
antiviru,1,0
zexi,1,0
exampl,20,6
elvi,8,2
brodi,3,0
uitati,1,0
snugglin,2,0
mb,9,16
laydi,1,0
muchli,6,1
therealtiffani,1,0
sec,11,12
netbsd,0,1
mkakalaba,0,1
vaca,6,5
round,62,87
strategi,10,5
mystic,2,6
superhd,1,0
psst,4,0
cheapskat,1,0
cinamon,1,0
toooo,7,14
herzog,1,0
api,12,7
norah,4,2
pissingannoy,0,1
faw,0,1
full,149,166
sparkli,1,1
boi,6,2
kangal,0,1
newwwwwwwwwwwwwwwwwww,1,0
brought,33,35
vido,2,0
quotumm,2,1
aik,1,0
mandarin,2,0
werneth,0,1
sama,1,1
accturli,0,1
prophet,1,0
band,103,91
tham,0,1
scarsborough,0,1
germanyy,0,1
oopssss,1,0
driv3r,1,0
webview,0,1
lovebl,1,0
ark,3,0
woooooooooooooooo,1,0
dorset,1,5
jeremi,6,7
vl,1,0
menageri,1,1
lukka,1,0
pcc,0,1
miiiiisssccchhhhhhh,0,1
superbowl,3,0
croatia,4,1
soarin,1,0
lappi,4,9
tunggu,0,1
awwweee,0,1
sander,2,0
fanali,0,1
90f,0,1
nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnooooooooooooooooooooooooooooooooooooo,0,1
san,47,51
lurvebit,1,0
cardiff,9,12
vital,1,3
scof,1,1
crack,52,36
vend,4,0
mayfair,0,1
ansome,1,0
rav,0,2
krawler,0,1
shruti,1,0
whiski,2,1
concret,0,6
neural,0,1
eorg,0,1
mugg,1,0
bookabl,0,1
ingrid,2,0
escucharla,1,0
18,3,4
honeybe,1,0
craigi,1,0
demetia,0,1
fluuw,1,0
graceeeee,1,0
trippp,1,0
dess,1,0
stuttgart,1,0
hoy,1,0
reshift,0,1
posti,0,2
rumbo,1,0
parasail,0,1
vancouv,7,10
rhp,0,1
absecon,0,1
french86,1,0
bilolog,0,1
musuem,0,1
muahahahahahahaha,1,0
alysson,0,1
looonnngg,0,1
weell,1,0
tc5,1,0
slide,11,12
hjxhjx,0,1
empezar,1,0
barbel,0,1
hdub,1,0
breathtak,2,0
tso,1,0
40am,0,3
addieee,1,0
biometr,1,1
danko,1,0
skullgirl,0,1
kiper,1,0
nibbl,4,2
spurt,1,0
autobiographi,1,0
toshiba,1,1
doorstep,1,1
alllllllll,0,1
roster,1,1
buyer,2,0
hart,2,1
artilc,1,0
balconi,15,11
quieter,0,1
loneliest,0,2
week3freebbb,1,0
swatch,1,1
jee,2,1
thoughtt,1,0
ccsf,1,0
offens,10,2
almeida,0,1
goozex,0,1
law,35,49
shield,1,1
winss,1,0
belev,1,0
perman,4,8
rok,1,0
collar,1,1
alkmaar,1,0
concept,22,8
decamp,1,0
leto,1,0
helllloooooo,1,0
thatbmean,0,1
mormon,2,2
peanut,23,15
roam,8,2
renew,6,14
buee,0,1
indigen,1,0
jelli,19,8
kickstart,0,1
gastropub,1,0
hellloooooo,1,0
seeyou,1,0
mhhhh,0,1
sumit,1,1
uhoooh,0,1
deg,2,6
whitsunday,1,1
